country,season,sport,gender,age_group,registered_players,metric_name,source_name,source_url,source_file,quality_flag,age_label,notes
Spain,2016-17,football,male,infantil,126997,licencias,RFEF Memoria Anual 2017,,rfef_memoria_2017.pdf,confirmed,infantil,Image-verified. Corrects prior hard-coded gender splits.
Spain,2016-17,football,male,juvenil,1454,licencias,RFEF Memoria Anual 2017,,rfef_memoria_2017.pdf,confirmed,juvenil,Image-verified. Corrects prior hard-coded gender splits.
Spain,2016-17,football,male,prebenjamin,54978,licencias,RFEF Memoria Anual 2017,,rfef_memoria_2017.pdf,confirmed,prebenjamin,Image-verified. Corrects prior hard-coded gender splits.
Spain,2016-17,football,male,profesional,3608,licencias,RFEF Memoria Anual 2017,,rfef_memoria_2017.pdf,confirmed,profesional,Image-verified. Corrects prior hard-coded gender splits.
Spain,2016-17,football,male,veterano,106123,licencias,RFEF Memoria Anual 2017,,rfef_memoria_2017.pdf,confirmed,veterano,Image-verified. Corrects prior hard-coded gender splits.
Spain,2016-17,futsal,female,aficionado,4573,licencias,RFEF Memoria Anual 2017,,rfef_memoria_2017.pdf,confirmed,aficionado,Image-verified. Corrects prior hard-coded gender splits.
Spain,2016-17,futsal,female,alevin,2055,licencias,RFEF Memoria Anual 2017,,rfef_memoria_2017.pdf,confirmed,alevin,Image-verified. Corrects prior hard-coded gender splits.
Spain,2016-17,futsal,female,benjamin,2171,licencias,RFEF Memoria Anual 2017,,rfef_memoria_2017.pdf,confirmed,benjamin,Image-verified. Corrects prior hard-coded gender splits.
Spain,2016-17,futsal,female,cadete,1703,licencias,RFEF Memoria Anual 2017,,rfef_memoria_2017.pdf,confirmed,cadete,Image-verified. Corrects prior hard-coded gender splits.
Spain,2016-17,futsal,female,debutante,13,licencias,RFEF Memoria Anual 2017,,rfef_memoria_2017.pdf,confirmed,debutante,Image-verified. Corrects prior hard-coded gender splits.
Spain,2016-17,futsal,female,infantil,1482,licencias,RFEF Memoria Anual 2017,,rfef_memoria_2017.pdf,confirmed,infantil,Image-verified. Corrects prior hard-coded gender splits.
Spain,2016-17,futsal,female,juvenil,1690,licencias,RFEF Memoria Anual 2017,,rfef_memoria_2017.pdf,confirmed,juvenil,Image-verified. Corrects prior hard-coded gender splits.
Spain,2016-17,futsal,female,prebenjamin,161,licencias,RFEF Memoria Anual 2017,,rfef_memoria_2017.pdf,confirmed,prebenjamin,Image-verified. Corrects prior hard-coded gender splits.
Spain,2016-17,futsal,female,profesional,17,licencias,RFEF Memoria Anual 2017,,rfef_memoria_2017.pdf,confirmed,profesional,Image-verified. Corrects prior hard-coded gender splits.
Spain,2016-17,futsal,male,aficionado,22232,licencias,RFEF Memoria Anual 2017,,rfef_memoria_2017.pdf,confirmed,aficionado,Image-verified. Corrects prior hard-coded gender splits.
Spain,2016-17,futsal,male,alevin,15135,licencias,RFEF Memoria Anual 2017,,rfef_memoria_2017.pdf,confirmed,alevin,Image-verified. Corrects prior hard-coded gender splits.
Spain,2016-17,futsal,male,benjamin,17466,licencias,RFEF Memoria Anual 2017,,rfef_memoria_2017.pdf,confirmed,benjamin,Image-verified. Corrects prior hard-coded gender splits.
Spain,2016-17,futsal,male,cadete,12582,licencias,RFEF Memoria Anual 2017,,rfef_memoria_2017.pdf,confirmed,cadete,Image-verified. Corrects prior hard-coded gender splits.
Spain,2016-17,futsal,male,debutante,871,licencias,RFEF Memoria Anual 2017,,rfef_memoria_2017.pdf,confirmed,debutante,Image-verified. Corrects prior hard-coded gender splits.
Spain,2016-17,futsal,male,infantil,12680,licencias,RFEF Memoria Anual 2017,,rfef_memoria_2017.pdf,confirmed,infantil,Image-verified. Corrects prior hard-coded gender splits.
Spain,2016-17,futsal,male,juvenil,12432,licencias,RFEF Memoria Anual 2017,,rfef_memoria_2017.pdf,confirmed,juvenil,Image-verified. Corrects prior hard-coded gender splits.
Spain,2016-17,futsal,male,prebenjamin,10114,licencias,RFEF Memoria Anual 2017,,rfef_memoria_2017.pdf,confirmed,prebenjamin,Image-verified. Corrects prior hard-coded gender splits.
Spain,2016-17,futsal,male,profesional,256,licencias,RFEF Memoria Anual 2017,,rfef_memoria_2017.pdf,confirmed,profesional,Image-verified. Corrects prior hard-coded gender splits.
Spain,2017-18,football,female,aficionado,12136,licencias,RFEF Memoria Anual 2018,,rfef_memoria_2018.pdf,confirmed,aficionado,Image-verified.
Spain,2017-18,football,female,alevin,6784,licencias,RFEF Memoria Anual 2018,,rfef_memoria_2018.pdf,confirmed,alevin,Image-verified.
Spain,2017-18,football,female,benjamin,3990,licencias,RFEF Memoria Anual 2018,,rfef_memoria_2018.pdf,confirmed,benjamin,Image-verified.
Spain,2017-18,football,female,cadete,5727,licencias,RFEF Memoria Anual 2018,,rfef_memoria_2018.pdf,confirmed,cadete,Image-verified.
Spain,2017-18,football,female,debutante,109,licencias,RFEF Memoria Anual 2018,,rfef_memoria_2018.pdf,confirmed,debutante,Image-verified.
Spain,2017-18,football,female,infantil,5648,licencias,RFEF Memoria Anual 2018,,rfef_memoria_2018.pdf,confirmed,infantil,Image-verified.
Spain,2017-18,football,female,juvenil,7018,licencias,RFEF Memoria Anual 2018,,rfef_memoria_2018.pdf,confirmed,juvenil,Image-verified.
Spain,2017-18,football,female,prebenjamin,906,licencias,RFEF Memoria Anual 2018,,rfef_memoria_2018.pdf,confirmed,prebenjamin,Image-verified.
Spain,2017-18,football,female,profesional,225,licencias,RFEF Memoria Anual 2018,,rfef_memoria_2018.pdf,confirmed,profesional,Image-verified.
Spain,2017-18,football,male,aficionado,120391,licencias,RFEF Memoria Anual 2018,,rfef_memoria_2018.pdf,confirmed,aficionado,Image-verified.
